高楼上谁穿着青袍眺望，就像望春台边随风飘扬的青旗。	青旂遥倚望春台	青山遥望下邳门	春旗已在望春台	旌旗遥倚望春台
在烟雨迷蒙的青楼里，我不由想起故人，怎么舍得忘记呢。	青楼烟雨忍相忘	一楼风雨最相思	红楼隔雨相望冷	青山听雨相思处
舍弃了汴梁巍峨的宫阙。	汴城宫阙远嵯峨	九天宫阙郁嵯峨	汴城宫殿远嵯峨	东都宫阙郁嵯峨
如今爱惜人才已不如昔日。	今日爱才非昔日	谁谓今时非昔日	今日论才非昔日	今日关津非昔日
它不露花纹彩理使世人震惊。	不露文章世已惊	不露文章世始惊	如子文章世已无	悔露文章与世疑
圣女想一起登天阶服紫芝位列众仙。	忆向天阶问紫芝	莫向瑶阶问紫芝	共向东风问紫芝	曾向钧天侍紫皇
将军向皇帝上表，奏请班师。	表请回军掩尘骨	请缨犹自慕终军	千年玉骨掩尘沙	将军玉剑虏尘清
镜湖水面如明镜。	镜湖流水漾清波	桥头流水漾清漪	中流漾月清波碧	半湾流水漾清波
行船在渡口停驻不敢过江。	津口停舟渡不得	渡口舟横不见人	渡口有船招不得	扁舟拟渡不得渡
谁知到枯草能遇到春天和风。	谁知死草生华风	死草华风亦自同	不知芳草为谁生	谁云腐草无生意
整年都不会有小吏来催租。	经年无吏叩柴荆	经年闲废闭柴荆	寻芳无客叩柴扉	蚕忌柴门无客叩
如何能有情尽桥呢？	何事名为情尽桥	归来何事为情牵	何事山名以九传	名为计事岂真情
小女子我伤感了，极目远眺，见江桥掩映于枫林之中，日已垂暮，咋还不见情郎乘船归来。	江桥掩映暮帆迟	渔舟掩映江南浦	春江帆影映斜曛	暮江乘月落帆迟
路过马嵬坡睹物思人徘徊不前。	到此踌躇不能去	踌躇不去欲何如	到此纵能休歇去	春从此去不踌躇
车上的帷幕隐没了远处坚固河堤。	遥遥翠幰没金堤	翠幰金车锦骆驼	匹马迢遥历翠微	遥遥禁院金莲烛
在檐前飘动的丝网上，蜘蛛来回爬动。	上有蜘蛛巧来往	时有幽人自来往	蜘蛛纵巧不离罗	结网小蛛恣来往
冲破峡谷若雷霆在滚动。	擘开苍峡吼奔雷	波涛漰湃吼奔雷	船头雪浪吼奔雷	倒峡崩崖吼万雷
黄昏杂草丛生的园中鸟照飞。	鸟下绿芜秦苑夕	秦苑绿芜催夕照	梁苑宫残锁绿芜	雨馀秦苑绿芜合
而是为了游览名山大川，因此才想去剡中这个地方。	自爱名山入剡中	山人自爱名山好	正爱看山入剡中	自爱江山入画图
空闲的庭院种上芍药邀请国老。	莳药闲庭延国老	庭闲好和老坡诗	病多全仗药延年	药笼秖今多国老
纵有返魂树也不能使人还魂回生。	返魂无验青烟灭	返魂无力去偷香	谄魂尽逐残星灭	返魂香竟无消息
君臣相顾泪湿衣衫。	君臣相顾尽沾衣	君臣相顾不胜悲	使君双泪定沾衣	君臣相对但沾襟
半夜看到屋檐上的一片寒光，以为是曙色从帘幕透过来。	五更晓色来书幌	五更寒色早来过	松堂夜色摇书幌	绝怜曙色侵书幌
在晴日阳光照耀下，西湖水波荡漾，光彩熠熠，美极了。	水光潋滟晴方好	水光泼眼晴方好	湖光潋滟春光暖	波光潋滟待晴来
哪能忍受让它沾染路上灰尘。	翠叶那堪染路尘	客路红尘心半染	不将翠袖染缁尘	初疑叶上缁尘染
荧荧的灯烛照着她一人孤眠。	灯烛荧荧照孤寝	灯烛荧荧照夜阑	孤灯寒竹自荧荧	红烛荧荧照夜阑
近年来豪饮的兴致衰败难以勉强。	年来饮兴衰难强	强饭年来幸未衰	年来为减寻诗兴	况复年来筋力衰
我亦想借您梦得“池塘生春草”的佳句。	梦得池塘生春草	好梦池塘春草生	池塘春草梦中生	料得池塘春草歇
湘娥把泪珠洒满斑竹，九天素女也牵动满腔忧愁。	江娥啼竹素女愁	靓妆宫女愁啼竹	楚娥啼竹泪痕斑	江上湘娥愁暮竹
如一叶孤舟在险恶的十八滩头飘零。	十八滩头一叶身	十八滩头上水舟	十八滩头泛一舠	清风十八滩头景
韩信还在淮南依靠漂母的接济为生。	来投漂母作主人	我去还谁作主人	劝使东来作主人	君合西湖作主人
麦苗不开花不多枯黄死。	麦苗不秀多黄死	麦苗堆绿菜花黄	夏麦原看未秀黄	出土麦苗还自秀
我想见你这位东坡的旧居士。	想见东坡旧居士	此是东坡居士云	想见墙东病居士	想见东林如旧日
巍峨高耸，蔚为壮观。	挂君高堂之素壁	高堂素壁静时看	高挂君家旧筑堂	且挂高斋一壁间
不要让敌人一兵一马从战场上逃回。	莫遣沙场匹马还	莫遣东郊马喷沙	但道沙场无匹马	沙场风急来胡马
祖国的大好河山和原来没有什么不同。	山河风景元无异	山河风景已非吴	河山风景伤无异	河山风景异般般
她好像是在与人说着什么，其实她是在自言自语。	碧纱如烟隔窗语	碧纱窗迥淡如烟	楼船不隔碧纱烟	疏帘如雾隐窗纱
我如今更似杜陵翁。	晚年更似杜陵翁	莫年身似杜陵翁	休笑当年杜陵老	闭门慵似杜陵翁
他们无非是敲诈勒索，抢劫财物，你藏在哪里都逃不过他们的眼睛。	徧收宝货无藏处	地藏宝鼎宁无祲	遍搜宝货无藏处	地宝无容久瘗藏
仿佛听到了黄帝咸池优美的乐声。	粗识轩辕奏乐声	轩辕奏乐洞庭滨	房中乐奏汉新声	镗鞳轩皇奏乐声
满怀愁绪梦里静听猿啼悠长。	愁听清猿梦里长	愁听清猿和白云	梦馀愁听短长更	梦回恰好听清猿
但那些小人却不懂得谦虚、不争是一种美德，反而鱼目混珠，不分优劣，把劣质的当成好的，把美玉当成引以为耻的东西。	鱼目笑之卞和耻	卞和刖后方售玉	卞和未雪荆山耻	献璧求知笑卞和
何必远远地打听她的林下风致。	林下何须逺借问	行处不须劳借问	林下何须候白衣	行客不须重借问
有一只野鹘，在佛塔上空盘旋回互。	但见野鹘盘浮图	高原无际见盘雕	青山影里见浮图	但见中间浮岛屿
道路遥遥东望没有尽头。	东出青门路不穷	出门蹊路失东西	咫尺东西路不赊	路出荆门不断山
持酒对饮坐看日已黄昏。	把酒相看日又曛	把酒相看醉不违	尊酒相看又夕晖	把酒相看日未曛
居延城外胡人正在狩猎。	居延城外猎天骄	关外数州城不猎	居延城外候烽烟	居延城外又移军
我虽有万死不辞的报国之志。	一身报国有万死	报国但知身有死	一死能明报国心	报国惭虽万死轻
织有花纹的绫罗更是难上加难。	变缉撩机苦难织	化机巧织尘难污	愁机懒织同心豆	织文机学羽难飘
织它的是什么人，穿它的又是谁。	织者何人衣者谁	车下短衣歌者谁	来者何人往者谁	绣衣使者知何取
这一生就喜欢踏上名山游。	一生好入名山游	一入名山似玉壶	相携可入名山游	平生雅爱入山游
流浪漂泊，离都城已越来越远。	十年蹴踘将雏远	十年鱼雁将家远	十年蹴鞠将雏远	将归远客已三年
不遇山僧谁解我心疑。	不遇山僧知问谁	问道山僧谁是主	问著山僧总不知	不向山僧问碧纱
只要把高尚的节操留在人世间。	要留清白在人间	只留清白在人间	但留清白与人看	偶留清怨在人间
谢安正要邀请东山妓女。	谢公正要东山妓	谢公携妓东山去	谢公虽有东山妓	谢公岂久东山趣
船中载着千斛美酒和美艳的歌妓。	美酒樽中置千斛	美酒输君閒百斛	美酒当山为满樽	歌楼美酒三千斛
还以为是汉宫月明。	徘徊犹作汉宫看	犹自低徊说故宫	知君犹恋汉宫恩	光影徘徊别汉宫
曾经在条支海中洗过兵器上的污秽。	洗兵条支海上波	条支西去波无极	洗兵无复望条支	海波息处销兵后
水鸟捉到鱼儿总是心满意足。	水鸟得鱼长自足	鱼鸟飞沉得自由	鸟飞鱼泳方自得	釜里有鱼长自足
这场大风使妻儿同意我在此地暂住。	此风聊得妻孥忏	支饥聊复盼妻孥	安得妻孥在眼前	痴聋且脱妻孥累
思乡的游客人人悲伤落泪。	远客思乡皆泪垂	北客思乡泪欲垂	远客思乡却自侬	怀古思乡两行泪
今晚我听你弹奏琵琶诉说衷情。	今夜闻君琵琶语	夜深听雨琵琶洲	不闻商女琵琶声	青楼夜半琵琶语
到明年即使被贬到更远地方。	明年纵便量移去	明年定复西归去	年年纵有春风便	明年莫便还家去
雨过天晴山腰间大象出没。	山腹雨晴添象迹	雨久晴来山转翠	山径雨馀留虎迹	松径雨晴添虎迹
只有相思的别恨像无边的春色。	唯有相思似春色	唯有旧时春草色	别时春色长相似	惟有相思似春色
一年到头，家中只剩下锄头。	岁暮锄犁傍空室	田夫望岁抛锄立	岁暮空山双树下	终岁锄犁犹不饱
这种情况不改变，不拟回头望故乡。	不拟回头望故乡	回望故乡归不得	不用回头望故山	不堪回首望乡情
我白白学了屠龙的本领，如今却束手无策。	学就屠龙空束手	学得屠龙长缩手	啖名漫学屠龙技	治鱼学就学屠龙
虽然他的长城宏伟浩大，高接云天。	虽然万里连云际	青霄万里暮云平	焉知万里连云色	莽连万里云一去
