高楼上谁穿着青袍眺望，就像望春台边随风飘扬的青旗。	青旂遥倚望春台	青山遥望下邳门	春旗已在望春台	旌旗遥倚望春台
我要结交的知己哪里会有呀？	吾心安所从	吾生安所成	吾将安所从	吾心何所凭
江边上的原有的松菊怕是已经枯败荒芜不见了吧，可怜了这八月的长安的漫漫长夜，该如何度过。	江边松菊荒应尽，八月长安夜正长。	三径未荒松菊在，天涯多少望乡愁。	五天到日应头白，月落长安半夜钟。	三秋松菊乡园在，五夜关河客梦长。
潺湲的济水流淌，尽阅古今，却是再找不到那曾来过的人了。	欲觅重来者，潺湲济水流。	平生浣沙处，流水恨潺湲。	何人肯来此，坐石弄潺湲。	欲竟重来者，潺湲济水流。
游赏黄州的山水，闲云倒影在水中，让人赏心悦目，闲来吟啸抒怀，日子倒也过得闲适自得。	云容水态还堪赏，啸志歌怀亦自如。	云容水态不相厌，画意诗情分与投。	英风豪气今何在，啸志歌怀亦自如。	水云共赏更谁可，气概相投还自然。
却仍无法将他的心意传达至君王面前。	无因彻帝阍	无言帝阍隔	帝阍呼不达	叩帝更无阍
海底的明月。	海底有明月	何处有明月	水底堕明月	明月出海底
建功立业的地方就在临洮。	勋业在临洮	勋业当兴宋	图麟勋业在	累朝勋业在
家宅附近有数亩良田。	数亩均肥硗	种麦十数亩	南亩稻苗肥	肥硗农圃力
在烟雨迷蒙的青楼里，我不由想起故人，怎么舍得忘记呢。	青楼烟雨忍相忘	一楼风雨最相思	红楼隔雨相望冷	青山听雨相思处
舍弃了汴梁巍峨的宫阙。	汴城宫阙远嵯峨	九天宫阙郁嵯峨	汴城宫殿远嵯峨	东都宫阙郁嵯峨
能职善舞者，在宫中谁可推为第一呢。	宫中谁第一	宫辞推第一	中兴谁第一	南宫第一人
如今爱惜人才已不如昔日。	今日爱才非昔日	谁谓今时非昔日	今日论才非昔日	今日关津非昔日
它不露花纹彩理使世人震惊。	不露文章世已惊	不露文章世始惊	如子文章世已无	悔露文章与世疑
圣女想一起登天阶服紫芝位列众仙。	忆向天阶问紫芝	莫向瑶阶问紫芝	共向东风问紫芝	曾向钧天侍紫皇
